XUTM	YUTM	LAT	LONG	BIOMAS	TM1	TM2	TM3	TM4	TM5	TM7	BRIGHT	GREEN	MOIST	NDVI	NDVIC	PEND	ALT	H
745187.264	6073043.496	-35.455893	-72.298323	244.448	42	30	22	65	28	14	89.375	6.219	-5.151	0.494	0.364	18.834	500.082	14.46
745187.264	6073163.496	-35.454813	-72.298359	205.634	43	30	22	66	29	15	90.816	6.294	-6.124	0.5	0.364	30.224	459.811	16.227
745787.264	6073193.496	-35.454394	-72.291764	66.598	59	52	61	68	74	58	139.021	-35.626	-50.969	0.054	0.017	11.093	399.191	4.636
744797.264	6073223.496	-35.454368	-72.302671	201.647	42	29	21	57	26	13	82.398	1.768	-3.918	0.462	0.349	27.952	428.671	15.051
745007.264	6073223.496	-35.454317	-72.300359	74.092	43	28	21	61	27	15	85.691	4.024	-5.447	0.488	0.364	33.614	444.413	18.636
744797.264	6073373.496	-35.453017	-72.302716	137.593	42	29	22	55	27	15	81.943	-0.631	-5.797	0.429	0.32	44.564	397.789	13.758
745007.264	6073373.496	-35.452966	-72.300404	112.977	42	31	24	62	32	17	89.857	1.978	-9.616	0.442	0.309	22.566	404.318	10.652
745787.264	6073373.496	-35.452773	-72.291818	69.867	45	32	29	63	38	23	96.259	-3.021	-16.293	0.368	0.235	21.253	372.578	4.581
745637.264	6073403.496	-35.45254	-72.293478	43.722	44	34	28	70	37	21	100.301	2.501	-12.88	0.424	0.278	25.715	361.147	9.419
745007.264	6073433.496	-35.452425	-72.300422	66.819	43	30	23	62	30	17	88.968	2.502	-8.135	0.459	0.329	27.211	394.502	14.48
745187.264	6073433.496	-35.452381	-72.298441	328.575	42	30	22	67	27	15	90.699	7.374	-4.796	0.506	0.377	22.224	354.782	12.96
744797.264	6073583.496	-35.451126	-72.302779	160.394	42	29	23	60	29	16	86.837	2.199	-7.195	0.45	0.328	19.497	375.392	10.369
745007.264	6073583.496	-35.451074	-72.300467	4.88	50	39	42	71	63	42	120.189	-13.342	-40.942	0.253	0.102	24.076	375.785	0.505
745607.264	6073583.496	-35.450926	-72.293863	11.119	46	35	32	75	47	28	110.122	0.981	-24.067	0.402	0.223	32.493	307.76	1.641
745787.264	6073583.496	-35.450882	-72.291882	77.937	44	31	26	55	37	24	88.885	-5.967	-17.467	0.365	0.237	24.338	298.503	8.98
744587.264	6073643.496	-35.450637	-72.305108	51.572	46	33	25	82	41	20	109.185	12.624	-14.934	0.529	0.327	30.601	343.812	5.697
745187.264	6073643.496	-35.450489	-72.298504	21.908	54	46	55	69	94	69	140.128	-31.783	-75.209	0.112	0.013	15.689	349.288	0
744557.264	6073793.496	-35.449293	-72.305484	121.138	42	29	21	66	34	19	91.7	6.568	-12.882	0.521	0.353	12.107	346.194	14.586
745007.264	6073793.496	-35.449183	-72.300531	6.604	45	35	29	71	49	30	106.734	-0.379	-26.484	0.423	0.229	32.718	350.595	9.338
745157.264	6073793.496	-35.449146	-72.298879	144.539	51	41	43	66	71	44	120.211	-18.18	-47.08	0.214	0.072	32.325	309.236	16.253
744797.264	6073823.496	-35.448964	-72.302851	107.045	45	35	34	70	51	31	108.566	-4.074	-28.793	0.341	0.177	10.061	390.841	11.384
745397.264	6073823.496	-35.448816	-72.296247	16.572	55	47	54	68	81	56	134.159	-28.971	-58.001	0.115	0.027	16.305	320.941	0.298
745607.264	6073823.496	-35.448765	-72.293935	23.255	53	42	45	66	66	42	120.89	-19.778	-41.574	0.189	0.072	9.333	293.85	0.222
745787.264	6073823.496	-35.44872	-72.291954	86.761	44	31	21	68	29	16	92.732	7.191	-6.148	0.528	0.384	3.499	273.854	4.475
745607.264	6073973.496	-35.447414	-72.293981	67.943	51	40	42	68	56	36	116.362	-13.82	-31.813	0.236	0.112	5.212	297.253	0.106
745787.264	6073973.496	-35.447369	-72.291999	75.894	48	39	35	75	56	31	116.242	-3.082	-30.309	0.364	0.172	7.073	285.725	1.106
745997.264	6073973.496	-35.447317	-72.289688	46.474	59	50	53	66	79	54	134.215	-31.735	-53.928	0.109	0.028	7.229	271.969	0.798
744377.264	6074003.496	-35.447446	-72.307528	40.726	44	34	26	73	40	20	102.339	5.868	-15.529	0.477	0.296	18.561	281.153	24.566
744557.264	6074003.496	-35.447402	-72.305547	191.853	42	30	24	60	31	17	87.838	0.964	-9.199	0.429	0.304	13.561	339.421	12.843
744827.264	6074003.496	-35.447336	-72.302575	140.216	48	38	38	66	55	36	111.316	-11.655	-32.767	0.269	0.13	11.407	360.79	8.192
745037.264	6074003.496	-35.447284	-72.300264	68.841	54	46	53	70	89	56	136.237	-26.627	-64.542	0.138	0.023	13.885	341.168	0.02
745367.264	6074003.496	-35.447203	-72.296631	45.219	53	44	44	66	63	45	121.087	-20.747	-40.566	0.2	0.082	20.913	288.266	3.01
745997.264	6074033.496	-35.446777	-72.289706	11.919	50	37	35	62	49	34	105.982	-12.717	-27.341	0.278	0.15	11.752	271.498	0.157
744377.264	6074213.496	-35.445555	-72.307591	12.594	46	34	30	65	40	21	99.372	-2.312	-15.43	0.368	0.23	17.906	310.954	0.359
744617.264	6074213.496	-35.445496	-72.304949	186.75	48	36	36	65	53	33	108.108	-9.894	-30.304	0.287	0.144	15.178	329.625	0.717
744827.264	6074213.496	-35.445444	-72.302638	126.81	49	37	35	62	53	32	106.222	-11.954	-29.578	0.278	0.14	12.796	319.366	0.859
745007.264	6074213.496	-35.4454	-72.300657	102.855	51	39	40	65	58	38	113.87	-15.219	-35.012	0.238	0.108	4.782	331.514	0.919
745187.264	6074213.496	-35.445356	-72.298676	36.144	47	34	34	59	52	33	101.769	-12.095	-30.811	0.269	0.137	19.649	313.421	2.268
745397.264	6074213.496	-35.445304	-72.296364	41.481	52	43	46	80	57	38	128.378	-9.231	-31.591	0.27	0.125	5.457	281.343	5.202
745007.264	6074393.496	-35.443779	-72.300711	28.43	46	34	31	69	41	27	103.735	-1.583	-19.07	0.38	0.234	11.454	317.144	4.884
745187.264	6074393.496	-35.443734	-72.29873	37.124	46	34	29	69	43	25	103.092	-0.195	-19.704	0.408	0.243	9.362	306.043	3.727
745397.264	6074393.496	-35.443683	-72.296419	12.355	45	32	24	78	36	19	103.701	11.143	-11.694	0.529	0.35	5.255	283.591	2.535
745577.264	6074393.496	-35.443638	-72.294438	10.156	49	41	34	84	51	26	121.054	3.824	-22.927	0.422	0.219	10.346	276.142	0.596
745007.264	6074603.496	-35.441887	-72.300774	41.587	45	32	26	69	34	20	98.394	3.806	-11.191	0.448	0.304	6.057	310.839	2.753
745187.264	6074603.496	-35.441843	-72.298793	7.111	49	37	36	76	45	25	113.376	-1.196	-18.712	0.35	0.202	3.216	304.434	1.03
745397.264	6074603.496	-35.441791	-72.296482	29.262	46	34	30	68	45	30	103.871	-2.97	-24.3	0.382	0.219	8.75	293.978	0.96
745217.264	6074813.496	-35.439944	-72.298526	59.795	41	28	22	66	29	14	89.659	7.864	-6.346	0.499	0.363	6.623	299.895	2.904
745397.264	6074813.496	-35.4399	-72.296545	52.505	45	32	26	73	39	20	101.845	6.414	-14.664	0.475	0.301	10.728	287.969	3.278
